emp_no,first_name,last_name,title,from_date,to_date,hire_date
92406,Alejandra,Bale,Senior Staff,1991-12-24,9999-01-01,1985-12-24
92415,Zorica,Lemarechal,Senior Staff,1991-12-30,9999-01-01,1985-12-30
92420,Jagoda,Pehl,Senior Engineer,1985-08-14,9999-01-01,1985-08-14
92435,Carrsten,Eiron,Senior Engineer,1996-09-17,9999-01-01,1985-12-21
92441,Shugo,Bennet,Senior Staff,1992-05-17,9999-01-01,1985-05-17
92456,Kersti,McConalogue,Senior Engineer,1987-01-10,9999-01-01,1985-03-15
92462,Subir,Vesel,Senior Staff,1985-03-07,9999-01-01,1985-03-07
92474,Shai,Salverda,Senior Engineer,1999-12-21,9999-01-01,1985-08-06
92495,Dzung,Eickenmeyer,Senior Staff,1994-08-14,9999-01-01,1985-08-14
92508,Alassane,Baaz,Senior Staff,1991-02-17,9999-01-01,1985-07-08
92513,Honesty,Asrin,Senior Engineer,1999-02-18,9999-01-01,1985-09-10
92528,Tamiya,Georgatos,Senior Engineer,1990-07-11,9999-01-01,1985-07-11
92532,Radhika,Covnot,Senior Staff,1985-12-27,9999-01-01,1985-12-27
92536,Nitsan,Rouquie,Senior Staff,1990-08-02,9999-01-01,1985-08-02
92541,Yifei,Swiss,Senior Engineer,2001-10-15,9999-01-01,1985-05-28
92557,Serif,Muchinsky,Senior Staff,1994-05-28,9999-01-01,1985-05-28
92605,Becky,Schauser,Senior Engineer,1994-04-18,9999-01-01,1985-05-20
92615,Berry,Puppe,Engineer,1999-04-17,9999-01-01,1985-12-04
92617,Marsal,Yoshizawa,Senior Engineer,1997-11-19,9999-01-01,1985-05-24
92619,Baocai,Perz,Senior Engineer,1994-08-05,9999-01-01,1985-02-20
92628,Uta,Milicia,Senior Engineer,1992-12-10,9999-01-01,1985-02-28
92636,Mayuri,Bierman,Engineer,2001-10-06,9999-01-01,1985-03-11
92644,Hideo,Baig,Senior Engineer,1990-05-10,9999-01-01,1985-05-10
92671,Jayesh,Demir,Staff,1995-01-29,9999-01-01,1985-12-31
92682,Rafail,Schlegelmilch,Senior Engineer,2000-11-26,9999-01-01,1985-04-16
92684,Mizuhito,Lorho,Senior Engineer,1991-10-09,9999-01-01,1985-10-09
92688,Mitsuyuki,Schahn,Technique Leader,1999-06-04,9999-01-01,1985-12-01
92697,Larisa,Swan,Senior Staff,1994-08-02,9999-01-01,1985-08-02
92699,Unal,Chaudhuri,Senior Engineer,1993-11-06,9999-01-01,1985-11-06
92703,Ziva,Ressouche,Senior Engineer,1991-04-25,9999-01-01,1985-04-25
92716,Yurij,Matzen,Assistant Engineer,1997-07-12,9999-01-01,1985-05-08
92725,Perry,Crouzet,Senior Engineer,1990-08-29,9999-01-01,1985-08-29
92728,Cedric,Francisci,Senior Engineer,1998-01-27,9999-01-01,1985-11-11
92731,Nathalie,Ranft,Senior Staff,1992-08-27,9999-01-01,1985-08-27
92734,Heping,Uehara,Senior Engineer,1991-09-09,9999-01-01,1985-09-09
92738,Ingemar,Kragelund,Senior Staff,1992-03-26,9999-01-01,1985-03-26
92748,Bokyung,Hiroyama,Staff,1997-08-10,9999-01-01,1985-07-17
92779,Gro,Reistad,Senior Engineer,1994-12-20,9999-01-01,1985-12-20
92792,Mostafa,Iacovou,Senior Staff,1993-09-21,9999-01-01,1985-09-21
92796,Susumu,Tagansky,Technique Leader,1997-08-17,9999-01-01,1985-07-24
92818,Jongsuk,Badr,Senior Engineer,1990-08-26,9999-01-01,1985-08-26
92832,Alselm,Gruenwald,Senior Staff,1995-01-04,9999-01-01,1985-11-05
92854,Rafael,McFarlan,Senior Staff,1994-12-01,9999-01-01,1985-11-15
92898,Gil,Ghazalie,Senior Staff,1990-06-25,9999-01-01,1985-06-25
92920,Huei,Hutter,Senior Engineer,2000-01-29,9999-01-01,1985-06-07
92925,Zhiguo,Zallocco,Senior Staff,1992-04-26,9999-01-01,1985-04-26
92933,Kamakshi,Alpay,Senior Staff,1985-11-08,9999-01-01,1985-11-08
92955,Martine,Baek,Senior Staff,1993-12-18,9999-01-01,1985-12-18
92965,Weiye,Salinas,Staff,1998-10-27,9999-01-01,1985-10-03
92969,Vincent,Birrer,Senior Engineer,1993-09-01,9999-01-01,1985-07-28
92977,Alair,Naumovich,Senior Staff,1993-10-13,9999-01-01,1985-10-13
92994,Kellyn,Poulakidas,Engineer,1996-09-05,9999-01-01,1985-10-29
92995,Mani,Morris,Engineer,1994-09-05,9999-01-01,1985-09-05
93017,Gian,Terkki,Senior Engineer,1990-08-21,9999-01-01,1985-08-21
93061,Cheong,Matteis,Senior Engineer,1994-10-22,9999-01-01,1985-10-22
93062,Pasqua,Masamoto,Senior Engineer,1991-08-28,9999-01-01,1985-08-28
93077,Kendra,Guerreiro,Senior Engineer,1993-10-30,9999-01-01,1985-10-30
93082,Kristin,Denna,Senior Staff,1997-11-20,9999-01-01,1985-08-20
93085,Evgueni,Parhami,Senior Staff,1989-04-09,9999-01-01,1985-02-11
93103,Ramya,Kermarrec,Senior Staff,1991-07-26,9999-01-01,1985-07-26
93107,Martien,Buchter,Senior Engineer,1985-10-31,9999-01-01,1985-10-31
93109,Amalendu,Kalorkoti,Senior Staff,1997-08-16,9999-01-01,1985-10-18
93118,Mary,Ruemmler,Engineer,1997-09-08,9999-01-01,1985-04-11
93120,Maria,Calkin,Senior Staff,1991-05-21,9999-01-01,1985-05-21
93126,Tommaso,Sessa,Senior Engineer,1995-09-23,9999-01-01,1985-09-23
93130,Kwun,Neimat,Senior Staff,1999-11-28,9999-01-01,1985-05-05
93134,Masato,Zhiwei,Senior Staff,1991-03-25,9999-01-01,1985-03-25
93139,Vasiliy,Rando,Senior Staff,1994-05-28,9999-01-01,1985-05-28
93144,George,Eiter,Senior Engineer,1994-12-30,9999-01-01,1985-12-30
93160,Trygve,Hinsberger,Senior Staff,2000-11-26,9999-01-01,1985-09-11
93168,Xuedong,Ligten,Senior Engineer,1985-04-13,9999-01-01,1985-04-13
93183,Kenton,Marzano,Senior Engineer,1994-11-04,9999-01-01,1985-08-20
93186,Naftaly,Naudin,Senior Staff,1991-02-20,9999-01-01,1985-02-20
93189,Neven,Dalton,Senior Engineer,1993-07-17,9999-01-01,1985-07-17
93195,Domenico,Baak,Senior Staff,1992-10-30,9999-01-01,1985-10-30
93196,Jagoda,Lindenbaum,Staff,1998-09-10,9999-01-01,1985-08-07
93197,Arie,Magliocco,Staff,1999-05-02,9999-01-01,1985-08-31
93206,Leucio,Trumbly,Senior Engineer,2000-06-23,9999-01-01,1985-06-15
93220,Richara,Walston,Senior Engineer,1996-08-27,9999-01-01,1985-09-28
93225,Xiadong,Docker,Senior Staff,1990-04-18,9999-01-01,1985-04-18
93244,Mack,Levergood,Senior Engineer,2001-05-30,9999-01-01,1985-10-07
93246,Jayesh,Shinomoto,Senior Staff,1997-08-08,9999-01-01,1985-10-06
93254,Shigeo,Cichocki,Senior Staff,1995-01-07,9999-01-01,1985-05-24
93261,Pintsang,Luca,Assistant Engineer,1999-11-20,9999-01-01,1985-06-08
93266,Pascal,Birge,Senior Engineer,2000-12-07,9999-01-01,1985-03-15
93267,Arun,Baar,Technique Leader,1985-03-26,9999-01-01,1985-03-26
93285,Lubomir,Cooman,Senior Staff,1988-04-11,9999-01-01,1985-09-18
93294,Gurbir,Qiwen,Technique Leader,1985-07-02,9999-01-01,1985-07-02
93301,Xinglin,Worfolk,Senior Staff,1999-11-27,9999-01-01,1985-04-16
93314,Carrsten,Beeson,Senior Engineer,1992-09-29,9999-01-01,1985-09-29
93354,Arvind,Wixon,Senior Engineer,1993-09-15,9999-01-01,1985-09-15
93357,Padma,Prochazka,Senior Staff,1992-07-04,9999-01-01,1985-07-04
93370,Kiyokazu,Anido,Senior Engineer,1996-02-17,9999-01-01,1985-06-29
93374,Goo,Munck,Technique Leader,1990-07-13,9999-01-01,1985-03-11
93405,Tamiya,Marrevee,Technique Leader,1985-12-14,9999-01-01,1985-12-14
93425,Gian,Nastansky,Senior Staff,1993-10-18,9999-01-01,1985-12-04
93426,Olivera,Kambil,Senior Engineer,1996-12-19,9999-01-01,1985-08-01
93429,Vivian,Camurati,Senior Engineer,1995-06-15,9999-01-01,1985-12-27
93430,Golgen,Baar,Staff,1994-02-27,9999-01-01,1985-05-20
93433,Abdelkader,Tchuente,Senior Staff,1991-04-16,9999-01-01,1985-04-16
93437,Katsuyuki,Ghemri,Senior Engineer,2001-01-06,9999-01-01,1985-08-15
93457,Chandrasekaran,Pluym,Senior Engineer,1996-03-06,9999-01-01,1985-10-17
93485,Susanta,Antonakopoulos,Senior Staff,1994-11-10,9999-01-01,1985-11-10
93490,Nagui,Vieri,Technique Leader,1992-04-07,9999-01-01,1985-06-24
93491,Margo,Heinisuo,Senior Engineer,1997-12-18,9999-01-01,1985-09-24
93506,Angus,Ventosa,Senior Engineer,1995-05-11,9999-01-01,1985-07-20
93509,Lijie,Perl,Senior Engineer,1991-12-09,9999-01-01,1985-12-09
93536,Zhonghua,Zongker,Senior Engineer,1993-07-20,9999-01-01,1985-07-20
93554,Aleksandar,Birch,Senior Engineer,1998-12-17,9999-01-01,1985-06-23
93576,Xuedong,Thorensen,Senior Staff,1994-06-17,9999-01-01,1985-06-17
93582,Lobel,Emiris,Senior Engineer,1993-10-07,9999-01-01,1985-10-07
93586,Francesca,Zockler,Staff,1996-03-25,9999-01-01,1985-04-17
93594,Weijing,Engelmann,Engineer,1999-08-10,9999-01-01,1985-09-27
93602,Uno,Orsini,Senior Engineer,1985-06-13,9999-01-01,1985-06-13
93603,Moon,Gniady,Staff,1996-10-29,9999-01-01,1985-10-04
93615,Steve,Schwabacher,Senior Staff,1992-04-30,9999-01-01,1985-04-30
93648,Mitchel,Hofstetter,Senior Engineer,1993-03-18,9999-01-01,1985-03-18
93670,Djelloul,Pulkowski,Technique Leader,1985-08-27,9999-01-01,1985-08-27
93675,Ute,Zuberek,Senior Engineer,2001-09-20,9999-01-01,1985-07-23
93721,Supot,Isaak,Senior Engineer,1994-03-13,9999-01-01,1985-03-13
93722,Tetsurou,Kavraki,Senior Staff,1990-03-22,9999-01-01,1985-03-22
93725,Mariusz,Hmelo,Engineer,1996-07-07,9999-01-01,1985-09-23
93739,Gal,Gecseg,Senior Engineer,1995-11-07,9999-01-01,1985-09-13
93740,Akemi,Thummel,Senior Engineer,1992-08-23,9999-01-01,1985-08-23
93788,Zine,Detkin,Senior Engineer,1993-09-11,9999-01-01,1985-02-14
93812,Keung,Gischer,Technique Leader,1985-11-30,9999-01-01,1985-11-30
93825,Rosella,Mitsuhashi,Senior Engineer,1992-08-23,9999-01-01,1985-08-23
93833,Alain,Dusink,Senior Staff,1997-01-03,9999-01-01,1985-05-15
93837,Susanta,Staelin,Senior Staff,1993-09-16,9999-01-01,1985-09-16
93875,Uli,Byoun,Senior Engineer,1995-09-02,9999-01-01,1985-02-04
93919,Jeane,Gronowski,Engineer,2001-12-01,9999-01-01,1985-11-02
93921,Chuanti,Driscoll,Senior Engineer,1997-05-27,9999-01-01,1985-05-11
93941,Steen,Terwilliger,Senior Staff,2001-06-09,9999-01-01,1985-04-01
93948,Filipe,Kobuchi,Senior Engineer,1991-10-15,9999-01-01,1985-10-15
93960,Xianlong,Seghrouchni,Senior Staff,1991-04-23,9999-01-01,1985-04-23
93966,Navin,Ohori,Senior Staff,1992-10-20,9999-01-01,1985-02-26
93968,Jovan,Lueh,Technique Leader,1996-11-28,9999-01-01,1985-03-19
93980,Zissis,Shihab,Engineer,1996-04-18,9999-01-01,1985-05-07
93994,Takahito,Pargas,Senior Engineer,2000-07-23,9999-01-01,1985-03-27
93995,Saeed,Luon,Senior Engineer,1997-11-19,9999-01-01,1985-04-13
94005,Conrado,Varker,Senior Engineer,1990-09-04,9999-01-01,1985-09-04
94025,Randy,Ramalingam,Senior Staff,1985-11-16,9999-01-01,1985-11-16
94028,Bernt,Fraisse,Senior Staff,1991-10-11,9999-01-01,1985-10-11
94042,Yonghoan,Bruckman,Senior Staff,1999-12-10,9999-01-01,1985-07-20
94043,Zhiwei,Ramamoorthy,Senior Engineer,1999-12-15,9999-01-01,1985-05-27
94060,Insup,Ginesta,Senior Engineer,1990-02-15,9999-01-01,1985-02-15
94094,Yunming,Bala,Senior Engineer,1999-04-15,9999-01-01,1985-04-14
94108,Moie,Naumovich,Senior Staff,1985-09-01,9999-01-01,1985-09-01
94113,Brendon,Dulay,Senior Engineer,1993-09-28,9999-01-01,1985-09-28
94120,Limsoon,Ohori,Senior Engineer,1994-07-28,9999-01-01,1985-07-28
94135,Falguni,Birke,Engineer,1998-07-10,9999-01-01,1985-02-17
94154,Heon,Cappelletti,Senior Engineer,1992-05-20,9999-01-01,1985-05-20
94156,Kristen,Norsworthy,Senior Staff,1994-12-09,9999-01-01,1985-12-09
94170,Bader,Yoshimura,Senior Staff,1997-09-16,9999-01-01,1985-02-04
94183,Bojan,Delaune,Senior Engineer,1999-05-14,9999-01-01,1985-05-13
94190,Chenyi,Marshall,Senior Staff,2000-11-26,9999-01-01,1985-07-08
94195,Arch,Rabehasaina,Senior Staff,1993-10-01,9999-01-01,1985-12-15
94204,Luise,Paludetto,Senior Engineer,1987-02-15,9999-01-01,1985-03-28
94210,Ekawit,Pouyioutas,Senior Staff,1990-09-29,9999-01-01,1985-09-29
94213,Debaprosad,Bennet,Senior Engineer,1994-04-02,9999-01-01,1985-04-02
94227,Gila,Veevers,Staff,1994-12-01,9999-01-01,1985-08-24
94228,Yonghong,Garnier,Senior Engineer,1993-07-08,9999-01-01,1985-08-11
94233,Troy,Miculan,Senior Staff,1993-09-11,9999-01-01,1985-09-11
94234,Kristin,Cherinka,Staff,1995-11-24,9999-01-01,1985-03-17
94241,Krisda,Validov,Senior Staff,2000-07-07,9999-01-01,1985-12-07
94252,Baoqiu,Hinsberger,Senior Staff,1991-09-19,9999-01-01,1985-09-19
94270,Serge,Heuser,Senior Staff,1994-04-21,9999-01-01,1985-04-21
94281,Rutger,Peres,Senior Engineer,1994-09-03,9999-01-01,1985-04-17
94287,Kiyokazu,Buchter,Senior Staff,1985-06-20,9999-01-01,1985-06-20
94288,Michaela,Monarch,Senior Engineer,2000-08-04,9999-01-01,1985-11-26
94293,Susuma,Qiwen,Assistant Engineer,1998-03-09,9999-01-01,1985-09-09
94313,Menkae,Birdsall,Senior Engineer,1985-03-14,9999-01-01,1985-03-14
94322,Ronnie,Moffat,Senior Engineer,1993-09-29,9999-01-01,1985-09-29
94342,Ramalingam,Demizu,Senior Engineer,1990-05-14,9999-01-01,1985-05-14
94367,Martina,Armand,Technique Leader,1991-10-24,9999-01-01,1985-10-17
94374,Adin,Ozeki,Senior Staff,1991-07-15,9999-01-01,1985-07-15
94380,Aamer,Miculan,Senior Engineer,1999-04-07,9999-01-01,1985-09-01
94386,Janalee,Picci,Senior Engineer,1993-12-06,9999-01-01,1985-12-06
94390,Dines,Back,Senior Staff,1998-12-10,9999-01-01,1985-10-05
94396,Constantine,Kusalik,Engineer,1997-03-25,9999-01-01,1985-02-27
94418,Ger,Ressouche,Senior Engineer,2000-08-08,9999-01-01,1985-12-03
94419,Felicidad,Socorro,Senior Staff,1985-10-22,9999-01-01,1985-08-05
94446,Tomoyuki,Luke,Senior Staff,1994-12-07,9999-01-01,1985-12-07
94447,Ottavia,Parveen,Senior Staff,2000-03-18,9999-01-01,1985-10-11
94455,Takanari,Isaak,Senior Staff,1993-03-15,9999-01-01,1985-03-15
94479,Dzung,Thorensen,Senior Staff,1985-11-17,9999-01-01,1985-11-17
94496,Sungwon,Akiyama,Senior Staff,1997-03-16,9999-01-01,1985-09-06
94511,Przemyslawa,Tempesti,Engineer,2000-12-07,9999-01-01,1985-08-15
94516,Toong,Rassart,Senior Engineer,1995-01-27,9999-01-01,1985-11-05
94521,Deborah,Schlegelmilch,Senior Staff,1993-07-10,9999-01-01,1985-07-10
94531,Kannan,Bahl,Senior Staff,1993-03-05,9999-01-01,1985-03-05
94547,Mark,Mitchem,Senior Staff,2001-03-31,9999-01-01,1985-08-12
94560,Weiye,Cronan,Senior Staff,1986-02-21,9999-01-01,1985-04-13
94565,Masami,Sidje,Engineer,1999-07-16,9999-01-01,1985-10-30
94574,Abdelghani,Dulli,Senior Staff,1991-09-09,9999-01-01,1985-09-09
94576,Filipp,Zastre,Senior Engineer,1992-11-03,9999-01-01,1985-11-03
94626,Mani,Horswill,Senior Staff,1993-06-07,9999-01-01,1985-06-07
94660,Shan,Schueller,Senior Engineer,1985-12-08,9999-01-01,1985-12-08
94666,Gudjon,Denti,Senior Engineer,1994-08-15,9999-01-01,1985-08-15
94667,Naraig,Rebaine,Senior Staff,1999-04-26,9999-01-01,1985-06-14
94684,Subbu,Stiles,Senior Engineer,1998-09-18,9999-01-01,1985-07-20
94692,Khun,Rosen,Senior Engineer,1993-11-27,9999-01-01,1985-11-27
94693,Manibrata,Gajiwala,Staff,1998-05-27,9999-01-01,1985-05-18
94704,Rimon,Thombley,Senior Engineer,1997-06-06,9999-01-01,1985-06-07
94716,Suzette,Matzel,Senior Staff,1992-07-29,9999-01-01,1985-07-29
94723,Hongzue,Rikino,Senior Staff,2000-04-18,9999-01-01,1985-05-28
94745,Genki,Leslie,Senior Engineer,1997-08-27,9999-01-01,1985-09-13
94746,Thodoros,Eiter,Senior Staff,1985-10-24,9999-01-01,1985-10-24
94764,Almudena,Breugel,Senior Engineer,1990-04-02,9999-01-01,1985-04-02
94817,Radhakrishnan,Zielinski,Senior Staff,1996-09-26,9999-01-01,1985-05-24
94821,Syozo,Iacovou,Senior Engineer,1992-08-18,9999-01-01,1985-08-18
94824,Moheb,Papsdorf,Senior Engineer,2002-02-01,9999-01-01,1985-05-14
94833,Miyeon,Kleiser,Senior Staff,1991-04-01,9999-01-01,1985-04-01
94834,Sverrir,Siegrist,Senior Engineer,1994-01-20,9999-01-01,1985-12-20
94842,Margo,Kavvadias,Engineer,1998-08-04,9999-01-01,1985-06-06
94857,Roddy,Marletta,Senior Engineer,1994-02-03,9999-01-01,1985-02-03
94862,Gro,Baek,Senior Staff,1994-07-11,9999-01-01,1985-04-24
94875,Mart,Chinen,Senior Engineer,1994-03-20,9999-01-01,1985-10-04
94878,Nobuyoshi,Koshino,Senior Engineer,1999-06-23,9999-01-01,1985-06-22
94954,Peer,Taubenfeld,Engineer,1997-07-24,9999-01-01,1985-12-11
94969,Tsutomu,Cochrane,Senior Engineer,1994-04-21,9999-01-01,1985-04-21
94981,Kauko,Cheshire,Senior Engineer,1985-04-08,9999-01-01,1985-04-08
94996,Magdalena,Pashtan,Senior Engineer,1990-08-08,9999-01-01,1985-08-08
95001,Berhard,Kalloufi,Senior Staff,1999-01-06,9999-01-01,1985-04-18
95016,Slavian,Ozeki,Senior Engineer,1992-03-24,9999-01-01,1985-03-24
95023,Ronghao,Schaad,Engineer,1998-11-11,9999-01-01,1985-09-16
95029,Gou,Erez,Senior Staff,1992-06-19,9999-01-01,1985-06-19
95031,Dhritiman,Chandrasekhar,Senior Engineer,1992-03-21,9999-01-01,1985-03-21
95065,Shuho,Puppo,Staff,1999-03-31,9999-01-01,1985-09-30
95081,Falguni,Samarati,Senior Staff,1991-11-26,9999-01-01,1985-11-26
95087,Pascal,Hambrick,Senior Engineer,1997-05-25,9999-01-01,1985-05-26
95093,Shigehito,Guardalben,Senior Staff,2001-04-03,9999-01-01,1985-08-06
95121,Haldun,Braunmuhl,Engineer,1994-12-26,9999-01-01,1985-12-26
95140,Hitomi,Jansen,Technique Leader,1998-12-07,9999-01-01,1985-05-03
95147,Shietung,Gecsel,Senior Engineer,1995-06-25,9999-01-01,1985-06-25
95149,Jeong,Kowalchuk,Senior Engineer,1994-05-19,9999-01-01,1985-05-19
95153,Guangming,Kawashima,Senior Engineer,1993-12-16,9999-01-01,1985-12-16
95159,Yechiam,Kusalik,Senior Staff,1994-07-08,9999-01-01,1985-07-08
95160,Alejandro,Yeung,Senior Engineer,1985-10-26,9999-01-01,1985-10-26
95168,Adas,Katzenelson,Senior Staff,1999-12-19,9999-01-01,1985-06-06
95182,Oguz,Candan,Senior Engineer,2001-01-27,9999-01-01,1985-02-21
95183,Aksel,Kossowski,Senior Engineer,1990-04-03,9999-01-01,1985-04-03
95190,Elgin,Onuegbe,Senior Staff,1996-09-22,9999-01-01,1985-02-05
95200,Guenter,Kalefeld,Senior Engineer,1995-10-13,9999-01-01,1985-10-13
95215,Ibibia,Baezner,Senior Engineer,1985-02-13,9999-01-01,1985-02-13
95217,Chinho,Cunliffe,Engineer,2000-01-08,9999-01-01,1985-04-22
95239,Jongsuk,Stifter,Senior Staff,1990-06-25,9999-01-01,1985-05-30
95241,Chrisa,Gimbel,Senior Engineer,1992-11-09,9999-01-01,1985-11-09
95257,Shih,Ratzlaff,Technique Leader,1985-04-06,9999-01-01,1985-04-06
95258,Mats,Marciano,Senior Engineer,1992-07-09,9999-01-01,1985-07-09
95263,Leaf,Swab,Senior Staff,1995-08-27,9999-01-01,1985-12-20
95270,Toshiki,Pusterhofer,Staff,1998-11-03,9999-01-01,1985-10-08
95272,Henk,Ulupinar,Senior Engineer,1995-09-01,9999-01-01,1985-09-05
95275,Atreye,Yemenis,Senior Staff,1994-06-29,9999-01-01,1985-06-29
95280,Owen,Hiraishi,Senior Engineer,1991-01-21,9999-01-01,1985-08-07
95325,Steen,Baumann,Senior Engineer,1992-09-15,9999-01-01,1985-08-07
95328,Denny,Junot,Senior Staff,1992-05-07,9999-01-01,1985-05-07
95331,Mohammad,Rattan,Senior Engineer,1992-02-10,9999-01-01,1985-02-09
95345,Salvador,Nilsson,Senior Engineer,1990-10-02,9999-01-01,1985-10-02
95362,Yonghong,Zyda,Senior Staff,2001-12-24,9999-01-01,1985-05-17
95363,Gen,Oxenboll,Senior Staff,2002-04-12,9999-01-01,1985-06-27
95376,Vishu,Docker,Senior Engineer,1991-11-23,9999-01-01,1985-11-23
95377,Kauko,Thorensen,Senior Staff,1997-06-15,9999-01-01,1985-03-30
95392,Wayne,Schneeberger,Senior Staff,1992-06-10,9999-01-01,1985-06-10
95393,Udaiprakash,Magliocco,Engineer,1994-05-02,9999-01-01,1985-05-02
95428,Shuzo,Conde,Senior Staff,1991-08-09,9999-01-01,1985-08-09
95434,Giao,Backhouse,Assistant Engineer,1996-08-20,9999-01-01,1985-06-24
95435,Xiadong,Baar,Senior Staff,1992-11-12,9999-01-01,1985-11-12
95447,Constantijn,Kroft,Senior Staff,1995-07-09,9999-01-01,1985-10-16
95508,Zhonghua,Pokrovskii,Senior Engineer,1991-12-24,9999-01-01,1985-12-24
95512,Kish,Ramaiah,Senior Engineer,1994-12-18,9999-01-01,1985-03-26
95517,Girolamo,Varman,Senior Engineer,1997-06-17,9999-01-01,1985-03-15
95523,Sachem,Varman,Staff,1997-08-11,9999-01-01,1985-11-18
95541,Chinho,Whitcomb,Senior Engineer,2002-06-17,9999-01-01,1985-10-26
95542,Huican,Steinauer,Senior Engineer,1996-12-15,9999-01-01,1985-07-27
95547,Mabo,Vidya,Senior Staff,1993-06-16,9999-01-01,1985-06-16
95549,Arun,Sooriamurthi,Senior Staff,1995-11-12,9999-01-01,1985-06-11
95563,Mads,Heuter,Engineer,1995-05-01,9999-01-01,1985-10-29
95570,Gregory,Kadhim,Senior Staff,1996-10-16,9999-01-01,1985-06-17
95571,Ekawit,Yeung,Senior Staff,1991-12-15,9999-01-01,1985-12-15
95575,Mohamadou,Esteva,Senior Staff,1994-02-18,9999-01-01,1985-02-18
95577,Willard,Koshiba,Senior Engineer,1998-02-16,9999-01-01,1985-03-29
95599,Kiyokazu,Encarnacion,Senior Engineer,1985-02-14,9999-01-01,1985-02-14
95605,Weiyi,Dichev,Senior Engineer,1995-03-19,9999-01-01,1985-10-08
95613,Pantung,Brizzi,Senior Staff,2001-05-05,9999-01-01,1985-09-03
95619,Satyanarayana,Fabrizio,Senior Staff,1985-06-10,9999-01-01,1985-06-10
95625,Bogdan,Negoita,Senior Engineer,1985-05-04,9999-01-01,1985-05-04
95626,Yucai,Bugrara,Senior Staff,1992-04-21,9999-01-01,1985-04-21
95635,Fumitaka,Mondadori,Senior Staff,1985-03-20,9999-01-01,1985-03-20
95645,Sudharsan,Binkley,Senior Staff,1990-06-11,9999-01-01,1985-06-11
95650,Nahum,Werthner,Senior Staff,1995-12-28,9999-01-01,1985-07-31
95668,Tonny,Cichocki,Senior Engineer,1999-08-17,9999-01-01,1985-04-27
95685,Kiyotoshi,Swift,Senior Engineer,1994-06-13,9999-01-01,1985-06-13
95687,Munenori,Belinskaya,Senior Staff,1992-10-09,9999-01-01,1985-10-09
95719,Yakkov,Masaki,Engineer,1998-01-05,9999-01-01,1985-02-23
95720,Sham,Ramsay,Senior Engineer,1994-03-09,9999-01-01,1985-03-09
95725,Martina,Anandan,Senior Engineer,1997-03-29,9999-01-01,1985-03-22
95730,Ingmar,Steenbeek,Senior Staff,1991-07-04,9999-01-01,1985-07-04
95736,Nahum,Glinert,Senior Engineer,1991-08-06,9999-01-01,1985-03-10
95741,Tianruo,Renear,Senior Engineer,1992-03-04,9999-01-01,1985-03-04
95749,Stein,Meszaros,Senior Engineer,1990-05-18,9999-01-01,1985-05-18
95755,Rosella,Decaestecker,Senior Engineer,1991-08-28,9999-01-01,1985-12-24
95767,Muzhong,Schmiedel,Senior Engineer,1992-02-03,9999-01-01,1985-02-02
95786,Dharmaraja,Peral,Senior Engineer,1990-09-25,9999-01-01,1985-09-25
95795,Sumant,Angelopoulos,Senior Engineer,1985-11-09,9999-01-01,1985-11-09
95799,Elgin,Barvinok,Senior Staff,1993-02-02,9999-01-01,1985-02-14
95806,Valeska,Aumann,Senior Engineer,2001-11-29,9999-01-01,1985-04-05
95810,Miquel,Kandlur,Senior Staff,1986-12-21,9999-01-01,1985-04-26
95820,Hyuckchul,Perri,Senior Engineer,1991-05-25,9999-01-01,1985-03-08
95826,Sigeru,Speckmann,Senior Staff,1990-03-18,9999-01-01,1985-03-18
95841,Mamdouh,Kampfer,Senior Staff,1993-06-21,9999-01-01,1985-07-25
95843,Kaijung,Pehl,Senior Engineer,2001-07-29,9999-01-01,1985-11-15
95867,Shakhar,Meszaros,Senior Staff,1991-02-02,9999-01-01,1985-02-02
95885,Stepehn,Parhami,Senior Engineer,1993-10-04,9999-01-01,1985-07-25
95902,Adin,Mikschl,Senior Staff,1993-09-02,9999-01-01,1985-04-20
95939,Kiyokazu,Ozeri,Senior Staff,1990-03-29,9999-01-01,1985-03-29
95943,Guozhong,Luit,Senior Staff,1991-05-28,9999-01-01,1985-05-28
95944,Dinkar,Vesna,Senior Engineer,1995-10-16,9999-01-01,1985-04-06
95945,Ottavia,Iwayama,Senior Staff,1994-03-13,9999-01-01,1985-03-13
95946,Kellie,Ertl,Senior Staff,1991-02-20,9999-01-01,1985-02-20
95965,Randi,Demri,Senior Engineer,1985-06-11,9999-01-01,1985-06-11
95996,Fumiko,Zobel,Senior Engineer,1993-12-25,9999-01-01,1985-07-22
95997,Lidong,Mandelberg,Senior Staff,1990-09-29,9999-01-01,1985-09-29
96025,Dzung,Farrel,Senior Staff,1994-01-27,9999-01-01,1985-07-15
96046,Urs,Alpin,Senior Staff,1990-06-02,9999-01-01,1985-06-02
96064,Abdelghani,Heydon,Senior Engineer,1994-04-09,9999-01-01,1985-04-09
96068,Shushma,Tempesti,Senior Engineer,1991-11-13,9999-01-01,1985-11-13
96083,Khalil,Muchinsky,Senior Staff,2002-06-03,9999-01-01,1985-06-15
96085,Shin,Leuchs,Senior Engineer,1990-06-11,9999-01-01,1985-06-11
96104,Marlo,Jullig,Senior Staff,1992-09-22,9999-01-01,1985-09-22
96108,Hatsukazu,Krychniak,Senior Engineer,2000-04-29,9999-01-01,1985-08-06
