emp_no,first_name,last_name,title,from_date,to_date,salary
71745,Adil,Laventhal,Engineer,2001-05-13,9999-01-01,40000
72190,Sajjad,Waeselynck,Engineer,1999-09-13,9999-01-01,43105
72194,Feiyu,Siepmann,Senior Engineer,1998-10-01,9999-01-01,70267
72232,Naraig,Veldwijk,Senior Engineer,1996-07-10,9999-01-01,61027
72640,Honglan,Hutton,Senior Engineer,1998-10-04,9999-01-01,40000
72918,Takahira,Szilard,Senior Staff,1993-01-15,9999-01-01,73810
73076,Froduald,Feldhoffer,Senior Engineer,1993-03-16,9999-01-01,44141
73233,Shigeo,Merey,Senior Engineer,1985-07-30,9999-01-01,43651
73516,Qingxiang,Badache,Senior Engineer,1996-06-25,9999-01-01,40000
73743,Anneke,Bernardeschi,Engineer,1999-11-01,9999-01-01,40000
73794,Aiichiro,Castellani,Engineer,1985-08-26,1987-08-19,41110
73903,Bartek,Cappello,Engineer,1988-07-28,1993-01-02,40000
74200,Holgard,Weiland,Senior Engineer,1991-09-24,9999-01-01,40000
74237,Jaihie,Vilarrasa,Engineer,2001-03-03,2001-06-20,48639
74344,Hiroyasu,Provine,Engineer,1994-11-25,9999-01-01,40000
74598,Kolar,Garigliano,Senior Staff,1992-05-10,1999-03-07,57664
74668,Masako,Bonifati,Senior Staff,1987-04-09,9999-01-01,56031
74800,Yuuichi,Conde,Senior Engineer,1999-03-08,9999-01-01,40000
75113,Zissis,Birch,Senior Engineer,1999-08-19,2000-07-15,40000
75354,Shuky,Jakobus,Senior Engineer,1993-06-16,9999-01-01,40000
75420,Clyde,Vrecion,Engineer,1997-07-03,2000-09-14,41464
75703,Kyoichi,Erman,Senior Engineer,2001-07-25,9999-01-01,40000
75760,Jahangir,Radhakrishnan,Technique Leader,1991-04-19,1993-12-29,44458
75888,Marsal,Otillio,Staff,1994-01-23,1999-09-16,46178
76178,Chiradeep,Meriste,Senior Engineer,1988-05-23,1997-06-25,62261
76189,Kolar,Hinsberger,Senior Engineer,1994-10-20,9999-01-01,47490
76201,Arif,Preusig,Senior Engineer,1992-04-02,9999-01-01,45799
76417,Parviz,Duclos,Senior Engineer,1989-12-27,1993-12-31,40000
76598,Keung,Ferriere,Engineer,1991-05-13,1995-10-08,69066
76640,Tristan,Mitsuhashi,Senior Engineer,2000-07-12,9999-01-01,40000
76847,Mariusz,Weiland,Senior Engineer,1989-08-16,1994-11-09,40000
77030,Faiza,Garnham,Technique Leader,1986-03-02,9999-01-01,47503
77157,Tesuro,Nicolson,Staff,1996-06-01,1999-10-20,40000
77303,Xinglin,Birge,Senior Staff,2001-03-05,9999-01-01,48808
77647,Niranjan,Schaaf,Technique Leader,1989-11-05,9999-01-01,42981
77815,Ronghao,Picaronny,Engineer,2002-06-09,9999-01-01,46164
78086,Fabrizio,Anick,Staff,1997-12-16,1998-05-02,49364
78106,Ashish,Ratnaker,Senior Staff,1986-11-10,9999-01-01,73059
78171,Teiji,Hinsberger,Senior Staff,1997-01-25,2002-05-18,41496
78363,Susumu,Fritzsche,Engineer,1998-06-23,9999-01-01,40030
78469,Leucio,Cappelli,Staff,1997-08-22,9999-01-01,40000
78871,Conor,Ghandeharizadeh,Senior Engineer,1985-05-25,9999-01-01,63067
79043,Katsuo,Hockney,Technique Leader,1999-11-07,9999-01-01,62200
79171,Guiseppe,Ellozy,Senior Engineer,1991-01-12,9999-01-01,44193
79190,Tsuneo,Servi,Staff,1999-06-30,2001-06-02,72794
79239,Denny,Griswold,Senior Engineer,1989-05-18,2001-11-19,40000
79310,Jeong,Cunliffe,Senior Staff,1996-10-27,9999-01-01,43707
79606,Arnd,Peir,Senior Engineer,1986-12-11,9999-01-01,50381
79640,Marl,Litzkow,Staff,1991-10-12,1993-10-22,48730
79722,Make,Remmers,Staff,1997-08-07,1998-08-08,64573
79763,Sanjoy,Barreiro,Senior Staff,1996-04-09,9999-01-01,80428
79895,Fei,Murtagh,Senior Staff,1986-01-19,9999-01-01,51534
80067,Kazuhisa,Weiland,Senior Staff,1991-11-09,9999-01-01,40000
80203,Shakhar,Baik,Staff,1993-12-01,9999-01-01,41466
80432,Stella,Figueira,Senior Staff,1998-03-14,9999-01-01,56584
80656,Kwan,Gide,Engineer,1998-06-24,2001-07-01,40000
80731,Shaowen,Eldridge,Senior Staff,1994-12-05,9999-01-01,54475
80745,Rimli,Huttel,Staff,1989-12-14,1996-11-29,57469
80850,Koldo,Luit,Senior Engineer,2001-04-15,9999-01-01,55815
80889,Shigeo,Linnainmaa,Senior Engineer,1985-07-30,9999-01-01,60339
80948,Harjit,Bardell,Senior Engineer,1996-05-23,9999-01-01,40000
81105,Jaewon,Boissier,Senior Engineer,1998-05-24,9999-01-01,51686
81162,Marco,Klerer,Senior Engineer,1999-11-01,2001-02-02,40000
81545,Larisa,Kornyak,Technique Leader,1996-03-10,9999-01-01,40000
81619,Gen,Aloisi,Senior Engineer,1993-03-12,2002-07-25,52936
81644,Divine,Ghandeharizadeh,Staff,1997-11-28,9999-01-01,96620
81995,Sreekrishna,Brender,Senior Engineer,1996-03-21,9999-01-01,41280
82069,Yechezkel,Perfilyeva,Senior Engineer,2000-11-02,9999-01-01,40000
82098,Poornachandra,Wilharm,Senior Engineer,1998-04-20,9999-01-01,65236
82351,Stevo,Thambidurai,Senior Staff,1989-10-27,9999-01-01,40000
82511,Uwe,Koblick,Engineer,1998-04-04,9999-01-01,40000
82919,Shigeu,Claffy,Engineer,1998-02-03,9999-01-01,40000
82928,Alselm,Rikino,Senior Engineer,1997-11-16,9999-01-01,60112
83280,Francesca,Ellozy,Senior Engineer,1999-08-08,9999-01-01,53451
83289,Shigeichiro,Engelmann,Senior Engineer,2000-01-09,9999-01-01,40000
83509,Breannda,Collavizza,Senior Engineer,1994-10-12,9999-01-01,40000
83544,Leaf,Baak,Senior Staff,2001-09-05,9999-01-01,64345
83714,Ohad,Kilgore,Senior Engineer,1997-07-01,9999-01-01,43736
83805,Manohar,Harllee,Senior Engineer,1987-03-11,9999-01-01,81354
83922,Shunichi,Solovay,Senior Engineer,1995-06-07,1998-11-18,43228
83941,Zsolt,Hagimont,Senior Staff,2001-10-08,9999-01-01,40000
84029,Babette,Eugenio,Staff,1997-09-21,9999-01-01,40000
84163,Zejun,Roisin,Senior Staff,1997-05-26,2002-01-16,55022
84179,Shuichi,Nanard,Senior Engineer,1989-03-14,9999-01-01,40000
84236,Eberhardt,Barriga,Senior Staff,1993-06-03,9999-01-01,79481
84256,Denny,Cheshire,Staff,1989-11-23,1992-08-08,46835
84315,Kristina,Baumann,Assistant Engineer,1996-09-26,9999-01-01,40000
84451,Shiv,Aumann,Senior Engineer,1998-06-14,9999-01-01,52930
84494,Janalee,Loncour,Staff,1986-04-12,1987-09-04,46378
84508,Tommaso,Vidya,Engineer,1998-05-02,9999-01-01,40000
84840,Sverrir,Neimat,Staff,1996-11-03,9999-01-01,40000
84922,Parke,Unno,Engineer,1996-07-01,9999-01-01,40000
84942,Shin,Fujisaki,Technique Leader,1988-02-23,9999-01-01,40000
85216,Ferdinand,Rosiles,Senior Staff,1997-07-08,9999-01-01,50873
85288,Younwoo,Luders,Senior Engineer,2002-03-31,9999-01-01,59922
85414,Chiradeep,Callaway,Staff,1999-07-30,9999-01-01,46065
85445,Yongdong,Pollock,Staff,1998-03-17,9999-01-01,64616
85702,Udi,Merks,Engineer,1997-08-15,9999-01-01,46279
85874,Pasqua,Taubman,Senior Staff,1986-06-23,9999-01-01,45034
86213,Kristine,Clemencon,Senior Staff,1996-04-21,9999-01-01,58095
86324,Maia,Berstel,Senior Engineer,1993-07-17,2002-01-13,40000
86354,Ronghao,Segond,Senior Engineer,1993-09-13,9999-01-01,66984
86422,Jaewon,Thummel,Senior Staff,1992-09-14,9999-01-01,40000
86546,Oldrich,Woycyznski,Senior Engineer,1990-05-15,9999-01-01,40000
86655,Zhenhua,Lorys,Engineer,1995-08-21,9999-01-01,42987
86672,JoAnne,Anido,Staff,1995-09-15,9999-01-01,40000
87129,Keung,Neiman,Staff,1997-04-13,9999-01-01,63824
87353,Quingbo,Coombs,Senior Engineer,1999-01-17,9999-01-01,54168
87458,Mikhail,Gimbel,Senior Staff,1993-12-22,1999-04-29,40000
87714,Khun,Janetzko,Engineer,1998-09-13,9999-01-01,40000
87729,Yongmin,Roccetti,Senior Staff,1991-12-10,9999-01-01,40000
87783,Conor,Thorensen,Senior Engineer,1988-02-24,9999-01-01,61557
88103,Goo,Bresenham,Senior Staff,1999-01-31,9999-01-01,81862
88357,Manohar,Karcich,Staff,1998-08-07,2000-08-22,40000
88411,Lena,Cannane,Engineer,2000-01-28,9999-01-01,40000
88422,Jungsoon,Birsak,Technique Leader,1985-04-03,9999-01-01,67886
88647,Vasiliy,Ratnaker,Engineer,1995-08-09,9999-01-01,47900
88958,Vojin,Coombs,Senior Staff,2002-07-23,9999-01-01,68392
88965,Mang,Hedayat,Engineer,1995-05-22,9999-01-01,45594
89048,Otmar,Birjandi,Senior Engineer,1992-03-23,9999-01-01,60750
89090,Tetsushi,Theuretzbacher,Senior Staff,1995-02-01,9999-01-01,47091
89161,Conal,Yetto,Senior Staff,1999-01-12,9999-01-01,40000
89207,Along,Erol,Senior Staff,1999-10-17,9999-01-01,40000
89346,Mansur,Comyn,Engineer,1999-08-31,9999-01-01,45781
89487,Kazuhira,Seiwald,Engineer,1995-03-25,1999-03-24,40000
89590,Guther,Rothenberg,Senior Staff,2000-08-07,9999-01-01,67868
89664,Pranjal,Rossi,Staff,1998-07-07,9999-01-01,59064
89680,Aiman,Mawatari,Senior Engineer,1997-05-01,9999-01-01,40000
89806,Xiadong,Shinomoto,Senior Engineer,2002-05-24,9999-01-01,40000
89922,Alexius,Ibel,Senior Engineer,1993-04-24,9999-01-01,62911
89941,Arnould,Weedman,Senior Staff,1989-07-28,9999-01-01,55028
90077,Vivian,Guerreiro,Engineer,1998-07-08,9999-01-01,45948
90084,Renny,Bale,Senior Engineer,1996-11-22,9999-01-01,45685
90116,Brigham,Luiz,Assistant Engineer,1990-04-10,1995-06-10,69213
90211,Bader,Denis,Engineer,1997-10-06,9999-01-01,40000
90292,Koichi,Assaf,Senior Engineer,1998-05-26,9999-01-01,40491
90366,Magy,Eiron,Senior Staff,1998-08-03,2002-03-03,40000
90518,Fumiko,Chepyzhov,Senior Staff,1997-01-27,9999-01-01,42375
90614,Yonghoan,Trogemann,Engineer,1997-09-23,9999-01-01,44589
90692,Rajmohan,DasSarma,Senior Staff,1990-09-14,9999-01-01,40000
91172,Kazuhisa,Melter,Senior Staff,1993-07-15,9999-01-01,40000
91182,Lucien,Schwartzburd,Senior Engineer,1994-08-25,9999-01-01,44702
91229,Yahiko,Hebden,Senior Engineer,2001-10-03,9999-01-01,40000
91256,Gunilla,Milicic,Staff,1998-01-09,9999-01-01,81518
91308,Remmert,Plumb,Senior Engineer,1993-06-14,1995-12-08,51770
91333,Lobel,Stafford,Staff,1998-11-29,9999-01-01,54313
91415,Jamaludin,Nilsson,Senior Staff,1994-01-15,9999-01-01,50426
91462,Siamak,Janocha,Engineer,1997-08-26,1998-03-21,40000
91648,Dmitry,Msuda,Senior Staff,1997-10-22,9999-01-01,84094
91934,Nikolaus,Swen,Engineer,2000-01-28,2002-07-03,46503
91973,Jianwen,Jakobus,Senior Engineer,1998-08-24,2001-02-12,50475
92438,Aria,Kilgore,Senior Engineer,1996-02-28,9999-01-01,54543
92443,Girolamo,Bellmore,Senior Staff,1996-12-04,2000-04-27,40000
92454,Visit,McFarlan,Senior Engineer,1996-10-21,9999-01-01,40000
92577,Zhanqiu,Farrow,Assistant Engineer,1999-01-10,9999-01-01,40000
92598,Ranga,Merro,Assistant Engineer,1996-05-11,9999-01-01,56144
92685,Mang,Atchley,Senior Staff,1995-06-07,9999-01-01,55634
92841,Claude,Candan,Senior Staff,1993-08-04,9999-01-01,78441
92846,Anyuan,Kropatsch,Senior Staff,1993-09-05,9999-01-01,44033
92920,Huei,Hutter,Senior Engineer,2000-01-29,9999-01-01,40000
93040,Jaques,Kabayashi,Senior Engineer,1992-03-13,9999-01-01,56125
93220,Richara,Walston,Senior Engineer,1996-08-27,9999-01-01,47553
93278,Magdalena,Penn,Senior Engineer,2002-01-04,9999-01-01,49314
93549,Arie,Coullard,Senior Staff,1998-04-15,9999-01-01,81468
93600,Kristina,Neimat,Technique Leader,1988-04-18,9999-01-01,40000
93794,Rimli,Werthner,Senior Engineer,2000-05-26,2000-12-30,40245
94045,Gift,Brender,Senior Engineer,1996-10-31,2000-01-02,49858
94131,Bernardo,Vasanthakumar,Staff,1997-05-01,1997-07-20,45782
94331,Ramzi,Cronau,Technique Leader,1999-09-03,9999-01-01,40000
94416,Aran,Cesareni,Senior Staff,1990-02-10,9999-01-01,61048
94442,Bilhanan,Marrakchi,Staff,1998-02-03,2000-10-12,69280
94690,Kazuyasu,Sridhar,Staff,1999-12-22,2001-12-03,62057
94761,Hitofumi,Zaccaria,Senior Engineer,1997-11-22,9999-01-01,48772
94787,Shigenori,Stanfel,Staff,1993-04-25,1999-12-11,41967
94944,Heping,Matheson,Senior Engineer,1997-06-24,9999-01-01,57985
95181,Yishai,Cappelli,Staff,1997-01-30,9999-01-01,66810
95286,Kristin,Guerreiro,Senior Engineer,1997-08-23,9999-01-01,40000
95314,Rasiah,Koblick,Senior Staff,1999-08-21,9999-01-01,69833
95406,Alair,Lyonns,Engineer,1997-07-12,9999-01-01,40000
95416,Gianluca,Ramaiah,Engineer,1993-11-29,9999-01-01,51499
95509,Kristinn,Loncour,Engineer,1995-02-08,9999-01-01,40000
95692,Abdulah,Hofstetter,Engineer,1999-11-24,2000-07-24,40000
95920,Nobuyoshi,Hegner,Senior Staff,2001-09-07,9999-01-01,61744
96100,Pranay,Rebaine,Senior Engineer,1998-02-01,2000-12-31,49351
96571,Kokou,Garrabrants,Senior Engineer,1997-11-05,9999-01-01,47390
96579,Mohan,Tasistro,Engineer,1996-02-10,9999-01-01,50866
96767,Arumugam,Vecchio,Senior Engineer,1992-08-14,9999-01-01,68591
97018,Jeanna,Chinen,Senior Engineer,1994-01-01,9999-01-01,44400
97092,Anwar,Riexinger,Senior Engineer,1997-12-30,2000-01-09,63199
97623,Haldon,Janetzko,Senior Staff,1996-09-10,9999-01-01,45153
97661,Avishai,Hegner,Senior Staff,2002-05-08,9999-01-01,46725
97697,Moie,Karunanithi,Senior Engineer,1995-02-07,2000-12-15,40000
98288,Sumali,Huttel,Senior Staff,1997-09-12,9999-01-01,43445
98306,Ziya,Kadhim,Senior Engineer,1995-11-02,9999-01-01,58503
98514,Giao,Junot,Staff,1999-07-01,2002-02-25,79331
98639,Florina,Assaf,Staff,1996-05-18,9999-01-01,40000
99057,Shugo,Reeken,Staff,1999-06-21,9999-01-01,40000
99373,Xiaobin,Christianini,Senior Staff,1991-12-25,9999-01-01,40000
99377,Carrsten,Francisci,Senior Engineer,1991-06-16,9999-01-01,51127
99590,Dhritiman,Anily,Staff,1998-12-16,9999-01-01,86023
99654,Mahendra,Motley,Senior Staff,1992-09-28,9999-01-01,58667
100865,Hisao,Peral,Senior Engineer,1998-10-03,9999-01-01,84451
100877,Kazuhide,Harnett,Engineer,1995-02-02,1999-02-13,47459
100916,Heejo,Aamodt,Senior Engineer,2001-04-22,9999-01-01,58123
101063,Nectarios,Munos,Senior Engineer,1994-08-31,1995-08-14,56046
101487,Abdelaziz,Sury,Senior Staff,1999-01-31,9999-01-01,60348
101647,Mori,Homond,Senior Staff,2000-05-09,9999-01-01,69247
101902,Mantis,Millington,Senior Staff,1997-03-17,9999-01-01,58037
102620,Adin,Templeman,Engineer,1997-12-10,9999-01-01,45060
103166,Waiman,Dalton,Senior Engineer,1999-05-25,2002-02-09,40000
103172,Doowon,Highland,Senior Engineer,1995-03-09,1995-11-23,40000
103196,Djenana,Albarhamtoshy,Senior Staff,1993-07-16,9999-01-01,40000
103310,Visit,Swen,Senior Staff,2000-10-01,9999-01-01,66244
103316,Susanne,Peternell,Senior Engineer,1999-07-27,9999-01-01,45189
103342,Beshir,Hellwagner,Engineer,1998-02-03,9999-01-01,40000
103756,Heping,Halloran,Engineer,2001-04-08,9999-01-01,40000
104133,Pranjal,Zyda,Senior Staff,1998-07-03,9999-01-01,92751
104845,Werner,Lodder,Senior Staff,1998-06-17,9999-01-01,54489
104962,Zongyan,Auyong,Engineer,1987-11-02,1991-12-22,81539
104988,Parviz,Litzler,Senior Engineer,1999-08-09,9999-01-01,71970
105191,Jaber,Kleiser,Engineer,1986-12-13,1987-09-22,62196
105342,Kwun,Reeker,Technique Leader,1999-07-29,9999-01-01,61529
105356,Diederik,Matzov,Senior Engineer,1996-05-12,9999-01-01,43737
105432,Mohamadou,Stafford,Senior Engineer,2000-09-11,9999-01-01,55985
105520,Haldun,Lienhardt,Senior Staff,1987-01-29,9999-01-01,71995
105589,Yechiam,Egerstedt,Engineer,1995-12-31,1999-07-18,41784
105731,Sachem,Cromarty,Engineer,1996-08-19,9999-01-01,48369
105936,Vidar,Thibadeau,Staff,1995-03-02,1999-09-15,53234
106096,Naftali,Schurmann,Senior Engineer,1999-12-03,9999-01-01,40000
106242,Nevio,Thisen,Senior Staff,1994-03-25,9999-01-01,40000
106514,Otilia,Speek,Senior Engineer,1988-07-30,1992-11-07,52638
106695,Lijie,Garrabrants,Senior Staff,1990-10-02,9999-01-01,52364
106710,Babette,Anandan,Senior Staff,1993-11-22,9999-01-01,60537
106958,Horward,Begiun,Senior Engineer,1992-11-06,2002-05-22,62767
107486,Siamak,Luiz,Senior Engineer,1987-02-11,9999-01-01,40000
107737,Fabrizio,Chleq,Senior Engineer,1999-07-31,9999-01-01,70367
107792,Shahab,Crooks,Senior Staff,2001-03-18,9999-01-01,80432
107828,Ramya,Walston,Senior Staff,1995-02-03,9999-01-01,78757
108091,Hisao,Ghemri,Senior Staff,1990-11-14,9999-01-01,56381
108198,Randi,Samarati,Senior Staff,1999-10-21,9999-01-01,42904
108316,Shai,Stellhorn,Senior Engineer,1992-05-21,9999-01-01,40000
108988,Oksana,Baek,Senior Staff,1997-07-20,9999-01-01,60335
109062,Jamaludin,Kandlur,Senior Engineer,1992-06-19,9999-01-01,45396
109211,Gor,Delgrande,Senior Engineer,2001-11-06,9999-01-01,40000
109252,Moty,Winter,Technique Leader,1991-04-28,9999-01-01,40000
109278,Bangqing,Schach,Senior Staff,1996-03-22,9999-01-01,57911
109547,Chenye,Zizka,Senior Staff,1994-02-22,2002-04-21,40000
109552,Menkae,Etalle,Engineer,2002-05-21,9999-01-01,49886
109553,Xiaobin,DuBourdieux,Staff,1985-09-16,1988-05-11,69019
109598,Stamatina,Auyong,Senior Staff,1988-07-05,9999-01-01,59483
109611,Jamaludin,Lalonde,Staff,1994-07-09,1998-08-24,97721
109620,Mani,Cannata,Senior Staff,1995-06-21,9999-01-01,68293
109652,Huan,Perko,Senior Staff,1993-07-31,1999-03-12,60319
109703,Arco,Walston,Engineer,1999-08-16,9999-01-01,46705
109741,Hatem,Fadgyas,Senior Engineer,1991-11-13,9999-01-01,40000
109953,Godehard,Chorvat,Senior Staff,1996-04-10,9999-01-01,56632
200052,Slavian,Cincotta,Senior Engineer,1992-05-30,1997-07-07,40000
200176,Shahab,Luit,Senior Staff,1994-11-20,1997-02-05,90882
200267,Chuanti,Luff,Senior Staff,2000-09-20,9999-01-01,40000
200312,Akemi,Fujisaki,Senior Engineer,1998-06-25,9999-01-01,40000
200363,Kirk,Quaggetto,Senior Engineer,1995-06-30,9999-01-01,54013
200735,Dinah,Denos,Senior Staff,2001-09-21,9999-01-01,65769
200789,Susumu,Camurati,Senior Staff,1997-12-14,9999-01-01,65044
201180,Odinaldo,Bridgland,Assistant Engineer,1989-06-09,1995-06-16,64988
201229,Alejandra,Khasidashvili,Staff,1994-07-30,9999-01-01,49086
201708,Anneli,Perl,Senior Staff,2000-09-08,9999-01-01,40000
201709,Fan,Kakkad,Senior Staff,1993-02-24,9999-01-01,78121
201739,Genta,Terekhov,Assistant Engineer,1998-07-21,9999-01-01,57310
201801,Waiman,Genin,Senior Engineer,1995-10-30,9999-01-01,50795
201915,Sudharsan,DeMori,Senior Engineer,1997-03-30,9999-01-01,62133
202031,Annemarie,Peternell,Engineer,1994-03-13,1997-06-05,46606
202291,Ortrun,Schmiedel,Engineer,1997-07-18,9999-01-01,63773
202403,Gully,Perko,Engineer,1999-07-07,9999-01-01,40000
202414,Zvonko,Murthy,Senior Staff,1992-01-07,9999-01-01,50945
202552,Morris,Saoudi,Senior Engineer,1998-11-22,9999-01-01,40000
202581,Dharmaraja,Merlo,Staff,1987-06-05,1990-12-16,66361
202826,Kerhong,Matzke,Senior Engineer,1993-11-14,9999-01-01,40000
202882,Isaac,Koshino,Senior Engineer,1995-09-28,9999-01-01,40000
202950,Giordano,Pietrzykowski,Senior Staff,1987-03-26,9999-01-01,40000
203474,Hugh,Jonsson,Senior Staff,1997-07-05,9999-01-01,71401
203495,Zongyan,Gips,Technique Leader,1997-05-31,9999-01-01,40000
203599,Ewing,DiGiano,Technique Leader,2000-02-01,9999-01-01,41382
203697,Claude,Kemmerer,Engineer,1994-01-16,2001-05-07,40429
203720,Sasan,Thimonier,Senior Staff,1996-08-21,9999-01-01,72078
203946,Yefim,Marwedel,Senior Staff,1999-03-30,9999-01-01,56594
204117,Jessie,Nooteboom,Staff,1999-08-13,9999-01-01,80942
204133,Susuma,Bergere,Senior Staff,1996-02-25,9999-01-01,56752
204246,Arve,Worfolk,Senior Staff,1990-04-01,9999-01-01,40000
204425,Gretta,Huttel,Senior Engineer,1990-10-08,9999-01-01,40000
204470,Hein,Lichtner,Senior Staff,2001-04-02,9999-01-01,55499
204471,Franziska,Maginnis,Senior Engineer,1992-02-17,9999-01-01,40000
204764,Susanne,Mandelberg,Senior Engineer,1996-11-01,9999-01-01,47854
205018,Yahiko,Awdeh,Engineer,1998-08-05,9999-01-01,55086
205085,Moni,Kornyak,Technique Leader,1991-09-26,9999-01-01,43219
205174,Leszek,Spinelli,Staff,1998-12-10,9999-01-01,55525
205362,Masasuke,Makinen,Staff,1992-07-02,1997-06-01,74150
205500,Mary,Setiz,Senior Engineer,1989-01-13,9999-01-01,40000
205627,Stabislas,Broder,Senior Engineer,2001-07-16,9999-01-01,40000
205660,Kien,Barreiro,Staff,1997-08-25,9999-01-01,40000
205699,Youjian,Yetto,Senior Staff,2000-12-06,9999-01-01,55096
205789,Limsoon,Skafidas,Senior Staff,1999-08-10,9999-01-01,49886
205863,Aiichiro,Kusalik,Senior Engineer,1996-10-03,9999-01-01,48877
206372,Temple,Joslin,Engineer,1993-01-05,1996-04-24,64246
206748,Yucai,Fabrizio,Staff,1999-10-06,9999-01-01,62756
206836,Guadalupe,Pfau,Senior Staff,2001-03-22,9999-01-01,48691
206865,Vasilii,Cochrane,Senior Engineer,1996-09-12,2001-04-23,48138
206966,Tzu,Sichman,Senior Engineer,1992-11-16,9999-01-01,61861
207021,Jacqueline,Akaboshi,Engineer,1997-12-06,9999-01-01,46523
207068,Zhiguo,Ariola,Senior Staff,1994-09-07,9999-01-01,63190
207204,Kellie,Schrooten,Engineer,1999-01-17,9999-01-01,40000
207401,Shuji,Barbanera,Senior Staff,1993-08-09,9999-01-01,47070
207551,Baziley,Falck,Assistant Engineer,1995-02-18,9999-01-01,40000
207779,Chinya,Kamble,Senior Staff,1992-05-31,9999-01-01,48113
207980,Remko,Vieth,Senior Staff,1999-11-22,9999-01-01,40000
208147,Manu,Rothenberg,Senior Engineer,1995-12-07,9999-01-01,57788
208330,Shen,Flanders,Senior Staff,1997-07-03,9999-01-01,80127
208639,Larisa,Lukaszewicz,Senior Staff,1994-10-10,9999-01-01,64461
208653,Phillip,Schade,Senior Engineer,1998-03-03,9999-01-01,54926
208784,Pranjal,Juneja,Senior Engineer,1985-03-21,9999-01-01,40000
209101,Xinyu,Edelhoff,Senior Engineer,1997-10-26,9999-01-01,50790
209443,Krassimir,Garnier,Senior Staff,1998-01-26,9999-01-01,54723
209456,Adhemar,Leonhardt,Engineer,1998-11-01,1999-12-30,53137
209565,Dante,Covnot,Senior Staff,1998-05-28,9999-01-01,40000
209681,Tianruo,Bratten,Senior Staff,1996-07-28,1998-04-03,40000
209712,Nimmagadda,Baak,Engineer,1995-10-30,9999-01-01,65975
209945,Roded,Veevers,Engineer,1990-10-23,1996-01-08,82313
210017,Shalesh,Lovengreen,Senior Staff,1996-09-28,9999-01-01,40000
210292,Lihong,Zeilberger,Staff,1996-04-28,9999-01-01,42520
210449,Gino,Lagarias,Engineer,1997-06-22,9999-01-01,47376
210529,Adam,Besancenot,Senior Staff,1990-09-27,1995-02-04,96947
210610,Arco,Crouzet,Engineer,2000-09-02,2000-09-30,57580
210752,Saniya,Stenning,Senior Staff,1991-12-10,9999-01-01,47970
210786,Werner,Ranze,Staff,1998-06-05,9999-01-01,52846
211569,Zhonghua,Snyers,Senior Staff,1994-10-08,1999-07-18,40000
211858,Domenico,Ratnaker,Senior Engineer,1993-03-24,9999-01-01,43498
211879,Gao,Ranze,Senior Engineer,1999-11-24,9999-01-01,40000
211967,Anwar,Bain,Senior Engineer,1998-01-22,9999-01-01,40704
212074,Tomokazu,Byoun,Engineer,1996-07-30,2002-04-08,40000
212093,Leni,Henders,Senior Staff,1999-11-19,9999-01-01,40000
212131,Debatosh,Rajala,Staff,1994-01-19,1994-04-22,71331
212154,Sailaja,Holburn,Senior Staff,1997-03-03,9999-01-01,41645
212361,Claudi,Stanfel,Senior Engineer,2001-01-06,9999-01-01,40000
212703,Kien,Bennis,Engineer,1993-01-06,1998-03-14,61566
212810,Qingxiang,Swan,Senior Staff,1997-10-04,2002-03-13,56986
213016,Yongmao,Fontan,Senior Engineer,1998-07-26,9999-01-01,40596
213140,Tru,Danecki,Staff,1997-03-31,9999-01-01,72365
213384,Pranas,Narwekar,Senior Engineer,1993-09-26,9999-01-01,41608
213447,Armond,Perly,Senior Engineer,1996-09-14,9999-01-01,57808
214184,Sivanarayana,Ranka,Engineer,1999-10-25,2001-05-03,47630
214215,Xiaoqiang,Cardazo,Senior Staff,1993-05-28,9999-01-01,90603
214391,Rayond,Klassen,Senior Staff,1999-09-11,9999-01-01,46462
214427,Peer,Molberg,Engineer,1996-11-17,9999-01-01,62160
214539,Ingmar,Kohling,Engineer,1995-04-25,9999-01-01,64488
214634,Shirish,Vickson,Senior Engineer,1997-10-24,9999-01-01,48826
214789,Arfst,Chepyzhov,Senior Engineer,1997-02-06,9999-01-01,40000
214807,Prasadram,Qiwen,Engineer,1997-09-04,1997-11-25,60446
214866,Gopalakrishnan,Angel,Senior Engineer,2002-07-05,9999-01-01,40000
214995,Dinkar,Hoppenstand,Engineer,1994-05-04,9999-01-01,40000
215419,Flemming,Kroha,Staff,1995-01-23,9999-01-01,40000
215629,Munehiro,Manders,Senior Staff,1995-05-18,9999-01-01,40000
215746,Sven,Speer,Staff,1999-07-08,9999-01-01,79967
215843,Pramod,Loncour,Senior Staff,1993-03-30,9999-01-01,47164
216054,Sahrah,Angiulli,Senior Staff,1991-07-31,9999-01-01,40000
216062,Shuichi,Anick,Senior Engineer,1992-11-24,1999-10-26,40000
216246,Francoise,Rullman,Staff,1997-12-30,2000-01-12,43647
216342,Aiichiro,Cromarty,Senior Engineer,2000-06-09,9999-01-01,40000
216375,Byong,Gustavson,Senior Engineer,1985-03-12,9999-01-01,59674
216502,Xiaocheng,Suermann,Engineer,1997-12-15,9999-01-01,63256
216573,Ashish,Vidya,Senior Engineer,1995-06-16,9999-01-01,41448
216921,Lena,Lenart,Senior Staff,1995-12-25,9999-01-01,51601
217026,Otmar,Engberts,Senior Staff,1998-08-16,9999-01-01,51335
217080,Masami,Puoti,Senior Engineer,2000-01-21,9999-01-01,40000
